comentario,categoria,etiqueta_estimada,etiqueta_real,confianza
yo cuando dijo eso no ni mergas yo cuando vi que decía suspensión de clases tiene mi boto,turismo,4,3.0,0.371280312538147
hiban a venir,turismo,3,3.0,0.5456092953681946
ojalá no se arme aquí,turismo,1,1.0,0.6353161931037903
se van a rayar los policías con tanta mordida q van a pedir,turismo,1,2.0,0.7151405811309814
y a esos si los va a cuidar o como a los mexicanos,turismo,3,3.0,0.5509568452835083
es como decirle a un niño que lo haga,turismo,3,3.0,0.44052499532699585
women,turismo,3,3.0,0.386280357837677
esto sonó como un reto de salir más,turismo,3,3.0,0.5074934363365173
y si mejor reparan las calles mejoran el transporte público y todos los aspectos de movilidad en la ciudad para que no solo los turistas lo disfruten digo es una opción que mejor forma de aparentar ser una ciudad de primera que siendo una ciudad de primera,turismo,2,2.0,0.6554198861122131
que no salga ella va a espantar a los turistas,turismo,2,3.0,0.516043484210968
jajjajaja wue no mameeee,turismo,3,2.0,0.5050275325775146
no mas eso faltaba,turismo,2,2.0,0.4917607307434082
espero que sea fake,turismo,3,3.0,0.640948474407196
pelusokun,turismo,3,3.0,0.5147600173950195
es hora de comenzar el juego,turismo,5,5.0,0.7413520812988281
seguramente voy a vender jamón por home ofice,turismo,2,3.0,0.40451616048812866
pues mientras me paguen mis días de trabajo yo con gusto me quedo a descansar a mi casa,turismo,4,4.0,0.582095742225647
acoso que como turista quiero ver una ciudad vacía si viajo es por la cultura,turismo,1,3.0,0.46012115478515625
que salga bueno,turismo,3,3.0,0.6285802721977234
me alegra y verán en lo que convertiste méxico,turismo,1,3.0,0.3392055630683899
no gracias,turismo,1,2.0,0.7065194845199585
si por eso quiero salir para ver gente diferente,turismo,4,4.0,0.5227110385894775
ya se hubiera remodelado el aicm desde hace años si no fuera por el capricho de construir el aifa,turismo,2,1.0,0.39738959074020386
nos pagarán por eso yo me apunto si me van a pagar bien,turismo,4,5.0,0.4508308172225952
no se quien las invento,turismo,1,3.0,0.345234751701355
ahora resulta que estar vivo en méxico es ilegal 5 5millones me va conocer que maravilla,turismo,1,3.0,0.4502136707305908
cuántos dices que vendrán dime,turismo,1,3.0,0.3785375654697418
creo q porfin habla algo inteligente,turismo,5,5.0,0.6600744724273682
sorprendente presidenta y como los vaz a mandar a cuidar mejor q sea en otro lado mi méxico es hermoso y ahora está en tinieblas,turismo,1,1.0,0.8701349496841431
ahora si los policías se van hacer ricos los weyes,turismo,3,3.0,0.4343990385532379
excelente presidenta gracias,turismo,5,5.0,0.9878302216529846
ni a palos,turismo,2,1.0,0.4045020043849945
si no hay maíz no hay mundial,turismo,1,1.0,0.8950937986373901
en guadalajara también se le ocurrió la misma ide otez a lemus,turismo,1,1.0,0.7086543440818787
por mi esta bien pero que me aga un deposito de retiro sin tarjeta de unos 1 000 000 000 000 000 000 000 000 000 000 000 000 000 000 y ya veremos,turismo,4,3.0,0.7752325534820557
que estamos muy pinches feos,turismo,2,3.0,0.5152696967124939
usted tampoco querida,turismo,1,3.0,0.5174560546875
todos a salir de casa en junio,turismo,3,2.0,0.47067442536354065
ni mi ex me escondía tanto,turismo,2,3.0,0.45114925503730774
queremos seguridad y medicinas al pueblo no le interesa,turismo,1,1.0,0.8625850081443787
cuando pensó que era buena idea,turismo,3,3.0,0.44068241119384766
alguien dijo que protestemos contra las desapariciones para que los turistas conozcan la realidad de méxico,turismo,1,1.0,0.859896183013916
me da risa solo tonteras de este gobierno,turismo,1,1.0,0.9245923161506653
están viendo como esta méxico usted cree que vengan,turismo,3,2.0,0.39645856618881226
esa mujer piensa que puede controlar y jugar como juguete a las personas,turismo,3,3.0,0.4054510295391083
y la mentira me da risa,turismo,2,3.0,0.35557878017425537
que hagamos manifestación dice,turismo,1,3.0,0.8672705292701721
con la inseguridad quien va querer ir a mexico,turismo,1,1.0,0.9857221841812134
disculpa soy mexicana que no me quedé en casa yo así entendí,turismo,1,3.0,0.4745858609676361
va ser el mundial más aburrido sí es que no pasa algo canónico,turismo,4,4.0,0.4880869686603546
ok pero díganselo a mi jefecito porque me obliga a venir a la oficina,turismo,4,2.0,0.7565827369689941
que ese diga hagan una manifestación dice,turismo,1,1.0,0.9085353016853333
yo aún me preguntó que tiene de importante el mundial de fútbol que da o en qué beneficia esa madre,turismo,3,2.0,0.49308785796165466
los carteles se van a dar vida con los turistas a quien se le ocurrió darle el mundial a méxico,turismo,4,4.0,0.5744748711585999
y regresando ya no están completo,turismo,2,2.0,0.6632967591285706
que acaso la fifa no lo cancelo y va hacer ahora en eu,turismo,1,3.0,0.4659528136253357
solo les recuerdo que una mujer perdió la vida solo por salir en busca de empleo un enfermo desvivio a varias personas desde una pirámide de teotihuacan y el metro de la ciudad está en su peor momento razones para manifestarnos durante el mundial si tenemos,turismo,1,1.0,0.7738234400749207
como si fuera a venir medio mundo para la miseria de partidos que se jugarán en méxico,turismo,1,3.0,0.6833361387252808
cuántos secuestrados va haber,turismo,1,1.0,0.8290069103240967
si we dame dinero pa quedarme todo ese tiempo en mi ksa y paga netflix pa entretenerme erra,turismo,3,3.0,0.4230973720550537
eso me sono a reto,turismo,3,3.0,0.5690624713897705
no creo que vayan con el desmadre que trae doña limones,turismo,1,2.0,0.4611373841762543
y con ese recurso recabado aumentara la seguridad para los mexicanos,turismo,2,1.0,0.41523993015289307
porque siento como que abra millones de personas muy pronto en las calles,turismo,3,3.0,0.4537142813205719
chale apenas q aprendí a comer con cubiertos y decir buenas tardes,turismo,2,3.0,0.3647785484790802
si me paga mis 50 que ganó en el trabajo por ir 6 horas al día me quedo todo el año me da risa,turismo,4,3.0,0.37832510471343994
cómo ven si les podemos su mundial,turismo,5,5.0,0.9096987843513489
ya les diría que es mui inseguro,turismo,1,1.0,0.9427675604820251
claudianoestassola,turismo,5,5.0,0.489304780960083
pero primero seguridad porque si no va a valer madre,turismo,1,2.0,0.46099358797073364
que salgamos dice,turismo,3,2.0,0.6084809303283691
no lo creo q cuánto sinismo,turismo,1,1.0,0.9683278799057007
no loco voy a méxico menos con la falta de seguridad méxico necesita a lilly téllez,turismo,1,1.0,0.754991888999939
los que trabajamos en plazas autoservicios transportes públicos etc no hay que ir a trabajar para que no haya personal y haci estén cerrados y que que lo sugirió la clara brugada,turismo,1,3.0,0.40909790992736816
que miedo atención turistas méxico no puede ni con su gente menos con turistas,turismo,1,1.0,0.9724957346916199
se salen de contexto pero siempre tirando tierra sus propuestas,turismo,4,5.0,0.4495547115802765
shiembaum diciéndole adiós a esos visitantes me da risa,turismo,2,2.0,0.46210429072380066
soy mexicano no vengan a méxico la presidenta se está pasando de lanza la inseguridad está canija,turismo,1,1.0,0.987619161605835
chsm,turismo,3,1.0,0.44942528009414673
que hagamos una manifestación dice,turismo,1,1.0,0.9177036285400391
que salgamos dice,turismo,3,3.0,0.6084809899330139
q hagamos manifestación dice,turismo,1,1.0,0.8868566751480103
creo que esos días le voy a pedir a mi jefa que no sea home office a ver a donde salgo,turismo,2,2.0,0.3866535425186157
normal mente ando en mi cueva pero esos días estaré en la calle todo el prro día,turismo,3,2.0,0.4644779860973358
no venga por esta presidenta vale pa pura verg por favor ni vayan,turismo,1,1.0,0.961931049823761
esta feliz porque van andar ocupados sus patrones del cartel ahora si llenaran las fozaz,turismo,4,3.0,0.5419065952301025
en conclusión tendré más dinero y como es obvio no lo compartiré con el pueblo,turismo,2,3.0,0.5382176637649536
oigan esa mmda es neta que lo dijo,turismo,3,3.0,0.5633885860443115
con las ganas sequedaron ya esta confirmado no habrá mundial en méxico la culpa la tiene la presidenta por la inseguridad que se vive,turismo,1,1.0,0.9817686080932617
y con tanto campo de exterminio señora,turismo,1,1.0,0.9220893383026123
presidenta,turismo,5,5.0,0.9725053906440735
no puedes con los mexicanos,turismo,1,1.0,0.9227755069732666
urge la revocación de mandato,turismo,1,1.0,0.8816858530044556
mujer tenía que ser,turismo,2,3.0,0.37499070167541504
parece perfecta idea para desviar la atención,turismo,1,1.0,0.7867465615272522
no iba a salir pero ahora como que me están dando unas ganas de ir al ángel de la independencia varios dias seguidos,turismo,2,3.0,0.31888630986213684
se van a dar cuenta k estamos de la ve rga y k su gobierno es de la mierda,turismo,1,1.0,0.9330278635025024
me da risa cierren negocios para disfruten el mundial,turismo,3,3.0,0.41561901569366455
cd juarez ya no existe el turismo como antes que ivan gringos de texas new mexico denver pero no le inporta cd juarez chihuahua,turismo,1,1.0,0.6829413175582886
seria glorioso que la fifa anunciará que no habrá mundial por la inseguridad para ver qué dice la incompetente de claudia y sus solovinos del bienestar,turismo,1,2.0,0.9721234440803528
claro vamos a salir más esos días porque así somos los mexicanos,turismo,3,3.0,0.5824527740478516
fijate que no estaría mal yo trabajo de didi podré aaer home office desde mi casa,turismo,4,3.0,0.561450719833374
de eso si tiene información y hasta con detalle la señora pero qué tal de la inseguridad,turismo,1,2.0,0.9287317395210266
sigan esperando,turismo,3,,0.6147961616516113
el punto medio lo entendí pero fue muy mal planteado me da risa,turismo,2,,0.5805219411849976
ya escucho jefe que no voy a poder salir,turismo,1,,0.8426463007926941
uff monterrey tendrá turistas me da risa humor llorones,turismo,3,,0.49091193079948425
no creo así como está la delincuencia y tú no quieres hacer nada más que abrazarnos,turismo,1,,0.9684669375419617
que que quiere manifestaciones,turismo,1,,0.9108880162239075
quien se le antocaja de plantón esos días traemos carnitas asadas,turismo,3,,0.430413156747818
mejora la seguridad primero,turismo,2,,0.5236974358558655
que nos paguen y así no salimos ni a tocar la luz del poco jajaajjajaja,turismo,2,,0.45576757192611694
y si mejor van y limpian los ríos arreglan las calles remodelan parques abandonados en vez de un mundial que solo traerá contaminación y gente ya somos muchos,turismo,2,,0.7381510138511658
no que la gentrificacion,turismo,1,,0.6135739684104919
con el peligro k los secuestren,turismo,1,,0.5339048504829407
y cuántos van a regresar con vida a sus ciudades,turismo,3,,0.4341427981853485
ya me ví en el oxxo bailando con las de brasil,turismo,3,,0.5798550248146057
sale entonces me muero de hambre,turismo,2,,0.48504674434661865
yo a méxico no voy ni aunque me paguen el viaje todo pagado,turismo,1,,0.847683310508728
y como tienes esos datos si aún no pasa y apoko va estar como los tuburios esperando clientes pa poder ganar todos me da risa si me entiendes no,turismo,2,,0.47288012504577637
las soluciones del bienestar,turismo,4,,0.3603697717189789
que nos manifestamos,turismo,3,,0.39001381397247314
manifestación ya yeaaaaaa,turismo,1,,0.7333963513374329
nunca salgo pero ahora saldré nadamás para jod3r jajajajajajaa,turismo,4,,0.4180322587490082
que le pasa iba a aprovechar para salir más me da risa,turismo,3,,0.43245959281921387
que gusto me va a dar que en pleno mundial le cierren avenidas que protesten que vean que el país se está cayendo,turismo,2,,0.3647473156452179
como cuidara a esos visitantes,turismo,5,,0.5009976029396057
jajsja lo q dijo erick gerardo es comp decir q no es agua es h2o me da risa es lo mismo pero mas fino,turismo,3,,0.4467414915561676
tanto se la pasaban criticando a díaz ordaz de la masacre en tlatelolco y a si le valió y se efectuaron las olimpiadas del 68 ahora que otra vez hacen lo mismo sabiendo que estamos viviendo días de violencia,turismo,1,,0.5123727321624756
donde esta el sticker de que se vaya a la,turismo,3,,0.5172687768936157
si mataron al alcalde de méxico ella no dijo nada imaginarse a los turista pasa nada,turismo,1,,0.9542779326438904
q salgamos dice,turismo,3,,0.5767678022384644
que miedo ir a méxico,turismo,1,1.0,0.9736810326576233
mejor más hospitales en vez de gastar en tonterías,turismo,2,,0.6211768388748169
y pur culpa de la disque presidente ya no se va hacer,turismo,1,,0.7158664464950562
abajo el mundial,turismo,3,,0.5559554100036621
y tiktok inundando de turistas diciendo y aconsejando que no vayan a méxico por el tema de la inseguridad y por qué todo está carísimo,turismo,1,,0.9749772548675537
ojalá y dios quiera que nada malo les pase a esos visitantes digo por como está la inseguridad no valla hacer que terminen o desaparecidos o secuestrados,turismo,1,,0.9321250319480896
creo que quiere manifestaciones,turismo,1,,0.7910335659980774
que no compren el var,turismo,1,,0.6481534838676453
eso antes debieron de preveer,turismo,2,,0.4025246202945709
hay que hacer una tendencia para que fifa se lleve el mundial d3 méxico,turismo,1,1.0,0.37108689546585083
les damos vergüenza,turismo,1,,0.7484147548675537
y va a ir a tulam,turismo,3,,0.4313028156757355
uuy ya saben como nos encontramos los mexicanos con esta mal dita inseguridad mexico se desangra ahora la corrupcion nise diga,turismo,1,,0.9722180962562561
gracias presidenta tienes todo nuestro apoyo,turismo,5,,0.8669344186782837
ese nivel de inteligencia siempre eh pensado que tienen los políticos,turismo,3,,0.3303902745246887
yo por molestar si no salgo saldría por decirme que hacer,turismo,2,,0.3933510184288025
ahorita no estamos para esas cosas que se cancele,turismo,1,,0.8601426482200623
keeeeeeeeee,turismo,2,,0.5189076662063599
yo no quería trabajar esos días pero creo que hasta caminando me voy a ir,turismo,1,,0.427063524723053
méxico no lo quieres tu,turismo,1,,0.9353519678115845
deme 40000 a la semana mientras dure el mundial y tenemos trato,turismo,2,,0.3376094102859497
lo que dice es que ese día los niños no tengan clases y que la gente trabaje en home office para que puedan disfrutar del mundial,turismo,2,,0.34492427110671997
que salgamos dice,turismo,3,,0.6084809303283691
ya se le olvidó lo de cambiar los manzo,turismo,3,,0.43437182903289795
mis amigos y familiares que viajan s méxico desde estados unidos regresan sin ninguna novedad sanos y sin razguños y con mucha mercancía mexicana,turismo,2,,0.3948315382003784
lastima que en méxico es un país muy inseguro para los turistas,turismo,1,,0.9049760103225708
pues uno de los atractivo turístico de mexico es la gente por que somos cotorros amables divertidos si no no van a tener la experiencia completa,turismo,2,,0.42663851380348206
como cuando te llevan de comer al sótano para que no salgas y avergüences a la familia,turismo,1,,0.530218780040741
el peso de la copa,turismo,3,,0.46471038460731506
déjame adivinar es otra frase sacada de contexto verdad,turismo,1,,0.5373023748397827
solo entendí que quiere ptzs,turismo,1,,0.55986088514328
ps tiene un punto si todos salen imagínate el desastre que causaría la hora pico,turismo,1,,0.5374795794487
quién dijo eso que chsm,turismo,3,,0.4045875668525696
no me agrada mucho salir pero nomas por eso me voy a ir a dar la vuelta,turismo,2,,0.41855573654174805
no debe haber,turismo,1,,0.4006575644016266
que miedo ir a méxico y eso que soy de méxico,turismo,1,,0.9492830038070679
ora si yo voy a disfrutar de ellos,turismo,3,,0.5121517777442932
que salgamos dice,turismo,3,,0.6084809899330139
ana gomez,turismo,3,,0.3943443298339844
ojalá que todos lleguen bien de regreso a su país xq aquí en méxico hay magia se desaparece la gente,turismo,2,,0.36157533526420593
que no es por eso sí no para no tener un impacto ambiental peorr,turismo,2,,0.37767061591148376
concuerdo con ella,turismo,5,,0.5339870452880859
y cuantos regresarán salvos a su casas,turismo,1,,0.4222528636455536
y mi me darán home office esos dias asi por mi bien,turismo,4,,0.4586285948753357
cancelar clases cuando lo mejor es perder clase viendo el partido con amigos al menos yo no lo veía yo me ponía a platicar con mis amigas me da risa,turismo,1,,0.6739303469657898
la barredora se está frotando las manos,turismo,2,,0.5552766919136047
es como si te dijera no salgas de tu cuarto para que la visita se sienta agusto bro aquí vivimos,turismo,3,,0.5571383833885193
hay paises donde suele ser al revez,turismo,3,,0.48838135600090027
que salgamos a las calles a manifestarnos dice,turismo,1,,0.6360719203948975
sólo me parece bien lo de las escuelas por temas de seguridad a los niños,turismo,2,,0.5966627597808838
es encerio es mas importante el mundial,turismo,3,,0.5669877529144287
qué manera de dejar de un lado todo lo que estamos pasando,turismo,2,,0.4309166967868805
van a ir 5 5 millones y como están las cosas van a regresar 2 7 millones me da risa,turismo,2,,0.43461474776268005
perdón cómo esta eso,turismo,1,,0.5962206721305847
manifestaciones manifestaciones,turismo,1,,0.7375764846801758
entendido que salgamos todos,turismo,3,,0.6165947914123535
queeeeee,turismo,2,,0.5864447951316833
ya no me parece que cancelaron por la inseguridad y solo será en usa y canadá,turismo,1,,0.9119633436203003
okey a hacer marchas entendí perfectamente,turismo,5,,0.4597857594490051
y la inseguridad,turismo,1,,0.9681633710861206
no no y no,turismo,1,,0.8187357187271118
o creo con tanto desorden que hay,turismo,1,,0.6248878240585327
me gusta la idea pero solo si se pagan esos dias en los trabajos como dias de vacaciones,turismo,4,,0.8974764943122864
a cerrar estadios aunque nos cueste que en méxico nunca haya mundiales,turismo,1,,0.5095533132553101
que hagamos fiesta en las calles dice,turismo,3,,0.5079169273376465
entonces no van a ir a trabajar todo estará cerrado,turismo,1,,0.5082765221595764
yo entendí que durante ese tiempo salga todo el día,turismo,3,,0.6927412152290344
para que los roben ya sea los policías o los mismos delicuentes,turismo,2,,0.43790197372436523
pon el video o la nota un foto con un escrito como prueba,turismo,3,,0.46476230025291443
dice que todos salgamos a manifestarnos,turismo,1,,0.5763165950775146
se han dado cuenta que cómo quieres sabotear el pri y el pan los eventos y así todavía creen que alguien va a quererlos tener en la presidencia,turismo,1,,0.9498487114906311
a cuántos de ellos los van a por la inseguridad de méxico,turismo,1,,0.9567937850952148
los que vayan cuidence mucho por la casa inseguridad,turismo,1,,0.9717181921005249
y para cuando lo de carlos manzo,turismo,3,,0.5972231030464172
me han dado ganas de turistear mi ciudad con todos mis amigos y familia,turismo,5,,0.5677908658981323
mujer,turismo,5,,0.3761659860610962
cómo ella pensó que reaccionaríamos todos los mexicanos,turismo,1,,0.7300551533699036
y tú regandola,turismo,2,,0.4453696310520172
todo aquel que quiera venir nuestro bello méxico todos sean bienvenidos dejen de ver noticias amarillistas y tik tok en todos los países hay inseguridad,turismo,1,,0.9814283847808838
que dice helen,turismo,3,,0.645838737487793
me da risa viva morena me da risa me da risa,turismo,2,,0.4766237735748291
le preocupa mas el mundial la señora que el país esta mal,turismo,1,,0.6727949976921082
nuestra oportunidad para manifestarnos,turismo,5,,0.5404090881347656
cuánta lana tubo que soltar o acaso es otra cortina de humo para no aser la marcha el 14 o 15 de noviembre,turismo,2,,0.5258551239967346
ps ahora salgo más y con pancartas en mano,turismo,3,,0.5887290835380554
cuantos muertos pueden haber,turismo,1,,0.8471837043762207
yo solo escuche que salgan,turismo,3,,0.5039782524108887
dios quiera y los otros paise se unan y mo vayan muy muy peligroso mexico muchos cuidado,turismo,1,,0.8686585426330566
no olvidemos a carlos manzo,turismo,1,,0.37613368034362793
pobre de ellos ojalá no los maten,turismo,2,,0.6174851655960083
bueno empiece por cancelar las citas en imss,turismo,1,,0.5296722650527954
que salgan todos y muestren el hermoso tráfico de la vida diaria,turismo,1,,0.714902937412262
y de que sirve si los impuestos del mundial van a correr por cuenta del pueblo,turismo,3,,0.4175598919391632
y ciudad de méxico sin aeropuerto con capacidad para el mundial,turismo,2,,0.4198906123638153
que hagamos de las nuestras dice,turismo,3,,0.4910571873188019
méxico,turismo,3,,0.3899948298931122
me da risa suerte con las empresas que hacen producción,turismo,3,,0.48333853483200073
jajajja me sentí como bebé paloma escondido por que le avergüenzo a mis padres jsjsjsjs,turismo,2,,0.33797651529312134
nunca le digas a una persona que hacer porque siempre hará lo contrario y peor,turismo,1,,0.6563167572021484
que muero ir a méxico,turismo,1,,0.7916311621665955
sorry nosotros no iremos,turismo,1,,0.8819974660873413
visitantes se escribe con m de mujer,turismo,3,,0.4759504795074463
y el aero puerto de san miguel allende,turismo,3,,0.321027547121048
por 3 pinches partidos,turismo,2,,0.4579485356807709
a bueno si ellos nos van un cheque de 100 000 pues no salgo para que no vallamos a trabajar y nos paguen las renta el agua la luz comida,turismo,3,,0.40338632464408875
si no salgo de mi casa como crees que le voy hacer para probar el producto extranjero,turismo,1,,0.4528447389602661
y la seguridad dónde quedó,turismo,3,,0.4086931645870209
habló el experto,turismo,3,,0.3424972891807556
y cuantos de esos volverán ah sus hogares,turismo,2,,0.45587357878685
es que no van a terminar los arreglos del transporte a tiempo y no vamos a caber en los rtp metro ni mexibús,turismo,2,,0.6436865329742432
ya cancelaron el mundial para mexico ya esta confirmado los partidos seran en estados unidos y canada en mexico no ay seguridad,turismo,1,,0.8790313005447388
que miedo ir a mexico es uno de los países mas peligrosos de latinoamerica,turismo,1,,0.981189489364624
ara eso si ahí dinero pero para proteger al pueblo ni madre dice,turismo,3,,0.3706244230270386
suban la información bien si lo dijo por escrito suban las capturas si lo dijo en un en vivo suban la parte del en vivo si van a informar informen bien,turismo,2,,0.4290570616722107
yo no iba a salir pero ahora me veo en la necesidad de salir esos días,turismo,3,,0.3820725083351135
no hay que ser groseros me dice mi mamá que cuando haya visita tengo que salir a saludar,turismo,3,,0.43123653531074524
si no te cancelan el mundial,turismo,1,,0.8274871706962585
como tal no digo eso pero lo peor es que si lo da a entender,turismo,4,,0.6709860563278198
cómo e dicho no porque sean de morena quiere decir que son buenos políticos eso hubiera pesando antes de el mundial como solucionar ese problema,turismo,1,,0.7415869235992432
awuiwi quiero ver manifestantes es la más perfecta ocación,turismo,5,,0.3991682231426239
así hubiera invertido en los hospitales,turismo,2,,0.5006647706031799
jajajkaja neta no es rage bait,turismo,3,,0.49895137548446655
revocación de mandato,turismo,1,,0.8313332200050354
y que tal si mejor renuncia,turismo,3,,0.46111541986465454
que una manifestación dice,turismo,1,,0.9359365105628967
no me gusta me da risa,turismo,1,,0.5075139999389648
todo por eso tlaloc hará lo suyo lluviaaaa,turismo,3,,0.48235273361206055
fifa ojooo méxico está super insegurooo,turismo,1,,0.9793790578842163
ablan de todo menos de carlos manzo,turismo,2,,0.525861382484436
no ma no que iban a suspender neta que vergüenza,turismo,1,,0.8459559082984924
primero méxico y después el dinero ya no tenemos medicamentos y la delincuencia el dia de hoy no me deja trabajar no necesito un mundial necesito un mexico seguro para recibir ingresos hoy,turismo,1,1.0,0.9656867384910583
tenía que ser,turismo,2,,0.5201387405395508
la policía se frota las manos de imaginarse,turismo,1,,0.7827620506286621
que quiere que agamos manifestaciones,turismo,1,,0.8449776768684387
me da risa qué mmada me da risa,turismo,3,,0.5425255298614502
la cancion de la carencia de panteón rococo fue lo único que se me vino a la cabeza al leer esto,turismo,2,,0.3535279333591461
manifestación,turismo,1,,0.7514854669570923
en jalisco van a suspender clases para que no haya tanta gente en la calle,turismo,1,,0.494078665971756
y crees claudia que deja mas dinero un mundial que todo inmigrante mandando dinero a mexico y visitando a nuestros pueblos ciudades y ranchos año con año claro si trabajaras en mejorar la seguridad del pais primeramente,turismo,1,,0.661891758441925
turistanovengasamexicoportuseguridad,turismo,5,,0.3419404923915863
que salgamos dice,turismo,3,,0.6084809899330139
oigan tienes razón hay que hacerlo así que los vendedores ambulantes los que venden los tacos los que venden en turismo todo lo que tenga que ver con trabajos sin importar que nos vamos a hacer esos ya sin trabajo así que los turistas pueden explorar pero lástima no se podrán llevar recuerdos porque nadie va a trabajar esos días ni los que venden para los turistas pero qué se les puede hacer hay que respetar porque es buena idea,turismo,2,,0.3356775641441345
cuba,turismo,3,,0.42210257053375244
ojalá cancelen la fifa a menos de que hagan algo con su narco gobierno,turismo,1,,0.9508342742919922
300dlls al día y hablamos,turismo,5,,0.38566887378692627
me da risa,turismo,3,,0.5177317261695862
a webo las nuevas soluciones bienestar,turismo,3,,0.4157096743583679
ya los conto,turismo,3,,0.5962046384811401
mil veces aldita claudia,turismo,5,,0.4337473213672638
y van a trasparentar todo el ingreso o lo repartirán en la nómina de morena,turismo,2,2.0,0.6247739791870117
que dijo que salgamos todos para que nos vean los turistas jajajajaa,turismo,3,,0.4006633162498474
si me dan para ir de vacaciones yo con gusto me largo los días para los que me alcancen,turismo,4,,0.6304539442062378
no gracias,turismo,1,,0.7065195441246033
si tan solo hubiera empezado el aeropuerto de peñas nieto otra casa sería,turismo,3,,0.4024886190891266
que nos manifestamos dice,turismo,1,,0.45442330837249756
como le van a hacer para darle servicios el aeropuerto apenas puede mover a los locales,turismo,3,,0.40665239095687866
y quién va a poner el ambiente,turismo,3,,0.3750151991844177
para todos los que dicen que la inseguridad pues de una vez les informo que ya todo está en carpetas de investigación asi que no se preocupen y para el mundial habrá un chingo de seguridad lo que jamás en años se ha visto ya lo verán para ese día méxico será diferente solo en lo que pasa el mundial ja,turismo,1,,0.980024516582489
cuantos turistas ya no regresarán a sus países así como está la inseguridad en méxico,turismo,1,,0.9755187034606934
km mexicano no me gusta q compartamos mundial con eu y canadá me parece injusto siempre a sido d un solo país los mundiales q poca m,turismo,1,,0.8217061161994934
esta mujer s ve enferma se ve que no ha dormido,turismo,1,,0.5340666770935059
creo que no es la persona indicada para decir eso,turismo,1,,0.5329575538635254
sino nos pueden cuidar a nosotros menos los turistas,turismo,3,,0.39317789673805237
ni de loco voy a méxico,turismo,1,,0.6654563546180725
mi mamá diciéndome que no salga de mi cuarto cuando hay visitas,turismo,3,,0.5073249936103821
lo tomaré pero me ofende muchísimo y por que no dejarlo así después del mundial,turismo,4,,0.7269793152809143
que valor de los turistas,turismo,2,,0.38917630910873413
justanorangecat hake406 gámez u u muffintime,turismo,3,,0.37792038917541504
y con un país lleno de inseguridad como le harán,turismo,1,1.0,0.9709478616714478
me da risa para decir en mi trabajo que me dieron permiso de faltar,turismo,2,,0.4111049175262451
de por sí ya es un caos la cdmx,turismo,1,,0.5343988537788391
todo muy bonito pero ojalá no sean víctimas del crimen organizado no pueden brindarnos a nosotros seguridad menos a los turistas,turismo,4,,0.38561487197875977
que salgamos dice,turismo,3,,0.6084809899330139
cómo que me dan ganas de salir en pijama y despeinada todo el día,turismo,2,,0.4886339604854584
que hagamos fiesta al lado del mundial dice,turismo,3,,0.5272705554962158
más bien salgamos hay que disfrutar de los turistas,turismo,3,,0.523979902267456
yo no quería salir para evitar el tráfico ahora tendré que salir,turismo,1,,0.8095400929450989
no salgan de sus casas para que no asusten a los turistas faltó decir,turismo,2,,0.48471081256866455
ya quiero ver a esos futbolistas,turismo,3,,0.5321646332740784
cómo que suspender clases en mi niñez el maestro nos puso a ver el partido en el salón de clase,turismo,1,,0.6652966141700745
pobr3s turistas que no volverán asus países en un país peligroso que se le ocurrió hacer mundial a fifa,turismo,1,,0.8918716907501221
que salgamos entendí,turismo,3,,0.599213182926178
yo tengo otra idea,turismo,3,,0.5358918905258179
wuuaaaooo excelente,turismo,5,,0.8470836877822876
wey me da risa hace meses estada asiendo burlas de eso con mi familia y ahora resulta que se hizo realidad,turismo,3,,0.46088072657585144
p,turismo,3,,0.3841954469680786
no soy alguien de salir mucho pero ya estuvo que esos días si o si voy a estar en la calle,turismo,3,,0.42752349376678467
soy mexicano y ojalá cancelen el mundial en méxico,turismo,1,,0.8697392344474792
la marina de estados unidos va a visitar a mexico,turismo,3,,0.420634001493454
detesto el futbol y no me gusta salir pero que les parece si esos días nos organizamos y salimos todos solo por molestar,turismo,1,,0.5382753014564514
que quiere una manifestación,turismo,1,,0.9578681588172913
mientras me paguen mi salario no hay pex me quedo en mi casa,turismo,3,,0.32683366537094116
que quiere manifestaciones dice,turismo,1,,0.9326744079589844
se me hace una falta de respeto,turismo,1,,0.4977073669433594
cómo sabe que le pago sus viajes o que de dónde saca ese dato,turismo,3,,0.43098220229148865
por qué se quejan es una sugerencia aceptable va a ser un maldito caos la ciudad,turismo,1,,0.9469521641731262
hay que bendición trabajar desde tu casa bien cómodo,turismo,5,,0.466659814119339
pobres turistas van a venir con un chingo de miedo ya que morena está con la delincuencia,turismo,1,,0.9694010019302368
está horrible viajar en méxico el tráfico está horrible y la inseguridad,turismo,1,,0.9866484999656677
hay que sabotear el mundial,turismo,1,,0.9192937612533569
demasiado peligroso yo jamás viajo a méxico aunque me encanta mucho el paiz pero muy peligroso,turismo,1,,0.5592623353004456
si me dan el día en mi trabajo va,turismo,3,,0.4255838394165039
cómo que me dan ganas de viajar a cdmx ese día,turismo,3,,0.5152794122695923
mi humilde opinión,turismo,1,,0.6131312847137451
clara brugada,turismo,3,,0.4681437015533447
osea vamos a salir,turismo,1,,0.48915669322013855
si me pagan esos días con gusto no salgo ni a tomar la luz del sol,turismo,2,,0.4477752447128296
ahí que salir solo molestar quien está conmigo,turismo,1,,0.5466585159301758
