comentario,rango_humano,,,,,,
@☆ manguito 🥭: :DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓNj🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻,,,,,,,
@.:DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓNj🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻,,,,,,,
pinche realidad tan triste que vivimos,,,,,,,
"Prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz",,,,,,,
La presidente ya pactó tregua con su socio el narco,,,,,,,
Y porque toda esa fuerza y seguridad no la usan también para limpiar a cada estado y al país del crimen organizado???😏😏😏😏😏,,,,,,,
NO queremos mundial 😡,,,,,,,
[Sticker] ,,,,,,,
híjole va a pasar lo mismo que Tlatelolco eh,,,,,,,
y si exigimos que no sea lo del mundial ?,,,,,,,
"Un abrazo a las familias, apoyemos para que se hagan virales y los escuchen ☹️☹️",,,,,,,
Solo durante la copa ? Ah que fregon. 😡,,,,,,,
"dios los cuide y proteja , ojalá que pronto encuentren a sus seres queridos 🥺",,,,,,,
"si no hay paz para la gente, que no haya paz para el gobierno",,,,,,,
"Canada: En crisis
estados unidos:En guerra
México: También en guerra pero interna",,,,,,,
"y si lo hacen el plan de seguridad todo el año? No, llámame loco.",,,,,,,
[Sticker] HOY HABLAMOS DE FÚTBOL,,,,,,,
"nadie entiende este dolor hasta que lo vive en carne propia, para los que prefieren el mundial y defienden la propaganda, deseo que nunca tengan que pasar por una situación de un familiar, conocido o amigo desaparecido porque cuando pasa ya no existe la paz ni para dormir",,,,,,,
"No queremos mundial, queremos seguridad y paz",,,,,,,
y le pusieron Kukulkan 😅😂😅😅,,,,,,,
💀No queremos mundial 😤,,,,,,,
por qué no dices el contexto quien negoció y firmó el contrato para el mundial fue el prian,,,,,,,
"este mundial está maldito, ya verán lo q está x venir",,,,,,,
"ALV el mundial, queremos seguridad",,,,,,,
es verdad,,,,,,,
que ése tipo de seguridad sea para todo el país y permanente,,,,,,,
Se lo ban a quitar a México por el narco pero no a USA por literal estar en gerra 😂,,,,,,,
Es una maldad que hagan este tipo de cosas con las familias que buscan a sus seres queridos,,,,,,,
ideas 💡 caminar el dia del mundial en jalisco,,,,,,,
ESTAN MARCANDO UNA DIFERENCIA Y QUE TRISTEZA QUE TANTAS FAMILIAS SIGAN LLORANDO POR SU DESAPARECIDO.,,,,,,,
Y se acaba el mundial y todo vuelve a lo mismo,,,,,,,
Fuerza a las familias,,,,,,,
Lo que acabo de llorar con este video.,,,,,,,
hagamos una marcha el día del mundial!!!📢📢,,,,,,,
Como dicen solo barres tu casa cuando vienen visitas,,,,,,,
"Me dolió en el alma, al escuchar ""PARA CUIDAR A LOS EXTRANJEROS..."" 😔asi nuestro país se preocupan por su gente",,,,,,,
"Te odio, te odio con todo mi ser gobierno de México",,,,,,,
O sea que si se puede acabar la inseguridad en culiacan pero no quieren ???,,,,,,,
Ojalá no se haga ese mundial 🙏🏻,,,,,,,
JAJAJAJA alch qpdo porque solo cuando viene gente externa y no lo dejan para proteger a los mismos mexicanos vlv,,,,,,,
"Se hará el mundial! Duele todo, pero esto ya está también hecho.",,,,,,,
no pues ir que no hacen eso no solo durante el mundial,,,,,,,
no queremos mundial 😡 queremos seguridad para el pias y nosotros los mexicanos vivamos en paz 😡,,,,,,,
la verdad es admirable el coraje y determinación de todas estas familias,,,,,,,
"yo si estoy en contra del mundial!, hay temas de seguridad y salud que son mas importantes...",,,,,,,
QUE HORRIBLE REALIDAD 🙏,,,,,,,
"Poca vergüenza quien pagamos impuestos, À munde que me sirve",,,,,,,
"deberían de quitarle el mundial a estados unidos,..... loreto",,,,,,,
una manifestación grande el día del mundial,,,,,,,
No es verdaaaad no vayaaaaan,,,,,,,
"No queremos el mundial en México, no queremos el mundial en Jalisco",,,,,,,
"Ah entonces si se puede dar seguridad
pero no para nosotros
Que interesante",,,,,,,
15 días después que nos lleve la porra a todos 🤦🏻‍♀️México igual de inseguro,,,,,,,
"el mundial no trae ningún beneficio al país anfitrión, solo hay que investigar el desastre que ocurrió en cada país anfitrión del mundial",,,,,,,
"No hay seguridad para nosotros, los mexicanos ¿cómo quieren asegurar a los extranjeros? 😑😑😑",,,,,,,
así pongan un millón de agentes de nada sirve si todos son corruptos,,,,,,,
jajaja se pasan. es mejor proteger a los turistas no?,,,,,,,
camila te seguimos buscando,,,,,,,
"lamentablemente así es , gastan en cosas que ni al caso y nosotros que tenemos un desaparecido ni nos voltean a ver 😔",,,,,,,
Mas de 23000 millones gastados y mal gastados.,,,,,,,
"tampoco estados unidos es seguro, con sus guerras",,,,,,,
JUSTICIA,,,,,,,
Alcemos la voz 🥺,,,,,,,
[Sticker] ojalá todos pudieran regresar con bien a su casa,,,,,,,
"Espero puedan encontrar cada una de las familias a sus desaparecidos ,y el apoyo total ...",,,,,,,
"esto es importante, que escuchen todos los gobiernos y los pueblos. Las personas son importantes",,,,,,,
"presiento que algo muy malo pasara, yo no iría a ningún estadio a andaría en las calles en esas fechas",,,,,,,
pero la presidenta dice que todo esta excelente y nada de esto pasa 🥺,,,,,,,
Este problema tiene años y el gobierno no muestra acciones por colaborar de manera efectiva en la búsqueda de personas desaparecidas. Miran hacia otro lado y con el mundial encima menos atenderán esta necesidad que debe ser prioritaria. Mis mejores deseos para que encuentren a sus familiares desaparecidos,,,,,,,
😞pan y circo control,,,,,,,
plan Kukulkán es todo el año no solo en mundial 😳,,,,,,,
justicia,,,,,,,
“No estamos en contra del Mundia... https://vt.tiktok.com/ZSxpVUysk/,,,,,,,
Yo si quiero el mundial pero creo que no se debió a ver aceptado el torneo ya que ahorita hay demasiados desaparecidos,,,,,,,
"eso significa después del mundial, seguiremos igual o peor😎",,,,,,,
y aparte el gobierno gastando millones para los 2/ 3 partidos pedorros que van a tener 🙄🙄🙄,,,,,,,
señor porque no decían nada antes porque haora 😡😡,,,,,,,
[Sticker] ,,,,,,,
"muy cierto, no se dan de cuenta que hay realmente prioridades 😞😞😞",,,,,,,
[Sticker] El bicho campeón,,,,,,,
"Pues no es culpa de los que traen los mundiales, si no de la gente que asiste a los partidos…sin ellos, no habría mundial.",,,,,,,
"@superhipo35:prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz",,,,,,,
El sipisapo de seguridad,,,,,,,
@Brkn_void:DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓNj🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻,,,,,,,
"Mucho activismo en los comentarios, pero la mayoría compraron los álbumes (qué es una ganancia para ellos) y van hasta endeudarse alguno para ir al mundial.",,,,,,,
no pueden protegernos a nosotros ah!!!... pero que tal a los visitantes es una burla más 🤣🤣🤣,,,,,,,
¿Entonces solo habrá seguridad por el mundial? 😢,,,,,,,
"Que triste que solo por presión extranjera, este gobierno mediocre haga lo que tiene que hacer",,,,,,,
"Aquí en México, se preocupa más por pendejadas como el mundial, que por las cosas que verdaderamente importa a si es México",,,,,,,
"es ridículo que solo por el mundial desplieguen tanta seguridad así, eso debió haber sido hace años y siempre",,,,,,,
"No pues entonces que nunca se vayan los turistas caray, para estar más protegidos",,,,,,,
Wey y porque no ablas de eeuu de nada,,,,,,,
Se dan cuenta que eso lo podrían hacer sin el mundial y no lo hacen 💀💀💀,,,,,,,
a la chingada el mundial,,,,,,,
"Dos puntos, el primero: Hagan una manifestación durante los partidos del mundial, afuera de los estadios, en las zonas donde habrá pantallas para ver los partidos y etc. Habrá medios de todo el mundo y gente de muchos países que posiblemente lleguen a grabar y se haga noticia mundial, cierren también algunas calles para hacer más tardado el acceso a los partidos asi podrán ser más escuchados y tendrán la ayuda que necesitan.
Segundo punto: La mayoría del dinero invertido para remodelaciones, decoraciones, etc es por parte de la FIFA, el gobierno solo pone una pequeña parte. Realmente el gobierno si quisiera ayudar ya hubiera destinado más fondos a eso pero simplemente no quiere. Amo el fútbol y estoy a favor del mundial pero sinceramente no sería lo mismo si mi madre, padre, hermana o amigos no estuvieran para verlo a mi lado. Ojalá que encuentren a sus familiares y que vivan en paz, esperemos que sean escuchados y que el gobierno haga algo.",,,,,,,
es más importante el mundial,,,,,,,
y mas de 200 mdp en remodelacion en Jalisco... que tristeza,,,,,,,
que hagan su trabajo no mundial tantas carencias necesidades para el mundial deberían plantarse en los estadios lo familiares de desaparecidos en protesta para que el mundo se de cuenta de lo que se vive,,,,,,,
[Sticker] los que vallan a mexico,,,,,,,
Pues que no se pierdan y ya!,,,,,,,
Se nota el dolor en sus palabras 🤧 perder un familiar debe ser terrible 😞 espero algún día aparezcan ❤️,,,,,,,
como me dueles México 💔😭,,,,,,,
